timestamp,provider,region,latency_ms,throughput_mbps,error_rate
2026-04-01 00:00:00,GCP,sa-east-1,103.37030722657032,860.43,0
2026-04-01 00:01:00,AWS,ap-northeast-1,23.11,358.7,0
2026-04-01 00:02:00,GCP,us-east-1,14.31,533.34,0
2026-04-01 00:03:00,GCP,sa-east-1,110.86372539171956,980.33,0
2026-04-01 00:04:00,AWS,us-east-1,12.93,970.59,0
2026-04-01 00:05:00,AWS,us-east-1,12.81,105.66,0
2026-04-01 00:06:00,GCP,us-east-1,14.43,579.01,0
2026-04-01 00:07:00,Azure,ap-northeast-1,14.72,403.23,0
2026-04-01 00:08:00,GCP,eu-west-1,14.62,362.1,0
2026-04-01 00:09:00,GCP,eu-west-1,6.58,636.63,0
2026-04-01 00:10:00,GCP,ap-northeast-1,18.65,501.67,0
2026-04-01 00:11:00,GCP,ap-northeast-1,42.64,759.56,0
2026-04-01 00:12:00,AWS,sa-east-1,83.95338864325107,124.42,0
2026-04-01 00:13:00,GCP,us-east-1,11.93,934.2,0
2026-04-01 00:14:00,Azure,ap-northeast-1,6.13,610.83,0
2026-04-01 00:15:00,AWS,sa-east-1,89.56153963768224,715.66,0
2026-04-01 00:16:00,Azure,eu-west-1,17.73,644.13,0
2026-04-01 00:17:00,Azure,eu-west-1,5.74,990.22,0
2026-04-01 00:18:00,Azure,eu-west-1,6.32,987.67,0
2026-04-01 00:19:00,Azure,eu-west-1,4.3,648.9,0
2026-04-01 00:20:00,AWS,sa-east-1,104.26099855792526,715.57,0
2026-04-01 00:21:00,AWS,us-east-1,8.01,656.71,0
2026-04-01 00:22:00,Azure,sa-east-1,98.01817045222832,379.61,0
2026-04-01 00:23:00,Azure,us-east-1,10.14,273.35,0
2026-04-01 00:24:00,AWS,eu-west-1,19.97,462.49,0
2026-04-01 00:25:00,AWS,ap-northeast-1,16.95,714.48,0
2026-04-01 00:26:00,AWS,ap-northeast-1,16.5,150.38,0
2026-04-01 00:27:00,GCP,ap-northeast-1,8.12,562.87,0
2026-04-01 00:28:00,GCP,us-east-1,17.13,467.56,0
2026-04-01 00:29:00,GCP,eu-west-1,19.38,574.74,0
2026-04-01 00:30:00,Azure,sa-east-1,110.67851715209147,874.2,0
2026-04-01 00:31:00,GCP,ap-northeast-1,6.39,142.85,0
2026-04-01 00:32:00,Azure,us-east-1,6.92,787.26,0
2026-04-01 00:33:00,Azure,ap-northeast-1,29.04,700.22,0
2026-04-01 00:34:00,GCP,sa-east-1,111.81599537640672,283.46,0
2026-04-01 00:35:00,Azure,eu-west-1,11.76,760.77,0
2026-04-01 00:36:00,GCP,sa-east-1,68.04986177365217,546.73,0
2026-04-01 00:37:00,GCP,eu-west-1,13.18,532.92,0
2026-04-01 00:38:00,AWS,eu-west-1,16.27,534.76,0
2026-04-01 00:39:00,GCP,eu-west-1,5.92,954.31,0
2026-04-01 00:40:00,AWS,ap-northeast-1,13.67,949.93,0
2026-04-01 00:41:00,GCP,sa-east-1,95.88277075358579,922.25,0
2026-04-01 00:42:00,GCP,ap-northeast-1,12.06,898.07,0
2026-04-01 00:43:00,AWS,sa-east-1,76.44394406205727,133.83,0
2026-04-01 00:44:00,AWS,us-east-1,8.81,460.54,0
2026-04-01 00:45:00,GCP,us-east-1,13.34,905.39,0
2026-04-01 00:46:00,Azure,sa-east-1,90.44389310898256,779.61,0
2026-04-01 00:47:00,AWS,sa-east-1,66.95945228927569,510.99,0
2026-04-01 00:48:00,Azure,sa-east-1,83.37046290916857,795.93,0
2026-04-01 00:49:00,Azure,sa-east-1,59.713706394104975,287.37,0
2026-04-01 00:50:00,Azure,eu-west-1,3.84,639.82,0
2026-04-01 00:51:00,AWS,ap-northeast-1,16.19,579.7,0
2026-04-01 00:52:00,Azure,eu-west-1,10.54,616.19,0
2026-04-01 00:53:00,AWS,ap-northeast-1,12.01,749.62,0
2026-04-01 00:54:00,Azure,ap-northeast-1,13.19,954.82,0
2026-04-01 00:55:00,GCP,ap-northeast-1,23.0,337.61,0
2026-04-01 00:56:00,GCP,eu-west-1,30.94,782.25,0
2026-04-01 00:57:00,AWS,sa-east-1,79.55278176323479,680.63,0
2026-04-01 00:58:00,GCP,eu-west-1,6.77,725.63,0
2026-04-01 00:59:00,GCP,eu-west-1,13.1,486.03,0
2026-04-01 01:00:00,Azure,ap-northeast-1,16.36,950.12,0
2026-04-01 01:01:00,AWS,us-east-1,20.12,531.69,0
2026-04-01 01:02:00,Azure,us-east-1,13.05,209.43,0
2026-04-01 01:03:00,Azure,eu-west-1,9.2,712.62,0
2026-04-01 01:04:00,Azure,ap-northeast-1,7.74,215.98,0
2026-04-01 01:05:00,Azure,eu-west-1,11.49,390.41,0
2026-04-01 01:06:00,Azure,eu-west-1,5.75,305.21,0
2026-04-01 01:07:00,Azure,sa-east-1,94.69719197988107,585.04,0
2026-04-01 01:08:00,Azure,ap-northeast-1,13.31,412.75,0
2026-04-01 01:09:00,AWS,us-east-1,13.28,243.87,0
2026-04-01 01:10:00,GCP,us-east-1,17.44,811.73,0
2026-04-01 01:11:00,Azure,us-east-1,25.17,521.64,0
2026-04-01 01:12:00,Azure,eu-west-1,11.76,509.0,0
2026-04-01 01:13:00,Azure,ap-northeast-1,12.66,897.73,0
2026-04-01 01:14:00,Azure,sa-east-1,76.0687698058369,584.94,0
2026-04-01 01:15:00,Azure,us-east-1,16.05,738.91,0
2026-04-01 01:16:00,Azure,ap-northeast-1,12.14,395.26,0
